id,coc,cor,port_code,age,visa_issued_in,occup,biryear,gender,airline,admnum,fltno,visatype,arrival_dt,departure_dt,added_to_i94,allowed_until,arrival_mode,visit_purpose
1628790,245,245,ANC,33,GUZ,"",1983,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-10-08,Air,Business
1628791,245,245,ANC,32,GUZ,"",1984,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-10-08,Air,Business
1795836,124,124,SEA,52,"","",1964,M,FI,2147483647,00681,WB,2016-04-10,2016-04-15,2016-04-10,2016-07-08,Air,Business
1795837,124,124,SEA,41,"","",1975,"",FI,2147483647,00681,WB,2016-04-10,2016-04-11,2016-04-10,2016-07-08,Air,Business
4907960,245,245,DAL,22,GUZ,"",1994,F,DL,2147483647,00588,B1,2016-04-26,2016-04-30,2016-04-26,2016-10-25,Air,Business
4907980,245,245,BOS,34,GUZ,"",1982,M,DL,2147483647,00588,B1,2016-04-26,2016-05-05,2016-04-26,2016-10-25,Air,Business
4909829,245,245,SEA,31,SHG,"",1985,F,DL,2147483647,00588,B1,2016-04-26,2016-05-02,2016-04-26,2016-10-25,Air,Business
4909833,245,245,SEA,17,SHG,"",1999,M,DL,2147483647,00588,B1,2016-04-26,2016-05-02,2016-04-26,2016-10-25,Air,Business
4909841,245,245,SEA,15,SHG,"",2001,F,DL,2147483647,00588,B1,2016-04-26,2016-05-02,2016-04-26,2016-10-25,Air,Business
4925739,464,464,LOS,41,ACK,"",1975,M,NZ,890230085,2,B1,2016-04-26,2016-05-03,2016-04-26,2016-10-25,Air,Business
5012684,103,103,FTL,54,"","",1962,"",NK,2147483647,00946,WB,2016-04-27,2016-04-29,2016-04-27,2016-07-25,Air,Business
5012685,103,103,FTL,24,"","",1992,"",NK,2147483647,00946,WB,2016-04-27,2016-04-29,2016-04-27,2016-07-25,Air,Business
5013154,104,104,NEW,50,"","",1966,M,UA,2147483647,00998,WB,2016-04-27,2016-06-12,2016-04-27,2016-07-25,Air,Business
5013155,104,104,NEW,26,"","",1990,F,UA,2147483647,00998,WB,2016-04-27,2016-06-12,2016-04-27,2016-07-25,Air,Business
5061994,209,209,LOS,39,"","",1977,"",AA,2147483647,00026,WB,2016-04-27,2016-05-03,2016-04-27,2016-07-25,Air,Business
5065221,209,209,ANC,47,TKY,"",1969,M,KZ,2147483647,0132B,E2,2016-04-27,2016-06-21,2016-04-27,2018-01-19,Air,Business
